,Difference
88,0 days 00:02:35
89,0 days 00:03:40
90,0 days 00:00:44
91,0 days 00:02:22
92,0 days 00:02:40
93,0 days 00:02:11
94,0 days 00:01:44
95,0 days 00:01:53
96,0 days 00:02:12
97,0 days 00:04:44
98,0 days 00:04:01
99,0 days 00:04:10
100,0 days 00:05:07
101,0 days 00:06:27
102,0 days 00:04:11
103,0 days 00:05:16
104,0 days 00:05:10
105,0 days 00:04:58
106,0 days 00:00:03
107,0 days 00:02:41
108,0 days 00:02:45
109,0 days 00:01:36
110,0 days 00:02:47
111,0 days 00:02:54
112,0 days 00:02:18
113,0 days 00:02:39
114,0 days 00:03:35
115,0 days 00:01:33
116,0 days 00:02:18
117,0 days 00:01:45
118,0 days 00:02:10
119,0 days 00:00:29
120,0 days 00:01:40
121,0 days 00:01:58
122,0 days 00:01:32
123,0 days 00:02:18
124,0 days 00:02:48
125,0 days 00:01:15
126,0 days 00:02:11
127,0 days 00:01:31
128,0 days 00:00:46
129,0 days 00:00:03
130,0 days 00:00:45
131,0 days 00:01:59
132,0 days 00:01:55
133,0 days 00:01:17
134,0 days 00:01:42
135,0 days 00:02:58
136,0 days 00:01:25
137,0 days 00:02:38
138,0 days 00:03:31
139,0 days 00:02:59
140,0 days 00:00:19
141,0 days 00:01:56
142,0 days 00:03:06
143,0 days 00:03:10
144,0 days 00:02:50
145,0 days 00:03:44
146,0 days 00:04:15
147,0 days 00:02:36
148,0 days 00:03:34
149,0 days 00:03:04
150,0 days 00:02:28
151,0 days 00:00:08
152,0 days 00:00:13
153,0 days 00:01:48
154,0 days 00:03:35
155,0 days 00:02:52
156,0 days 00:04:03
157,0 days 00:04:59
158,0 days 00:03:25
159,0 days 00:04:16
160,0 days 00:04:33
161,0 days 00:03:53
162,0 days 00:00:15
163,0 days 00:00:55
164,0 days 00:02:05
165,0 days 00:02:07
166,0 days 00:01:07
167,0 days 00:01:40
168,0 days 00:02:42
169,0 days 00:00:43
170,0 days 00:01:31
171,0 days 00:01:36
172,0 days 00:00:43
173,0 days 00:02:30
174,0 days 00:03:30
175,0 days 00:03:43
176,0 days 00:02:35
177,0 days 00:04:25
178,0 days 00:02:16
179,0 days 00:02:59
180,0 days 00:01:47
181,0 days 00:01:16
182,0 days 00:00:07
183,0 days 00:01:23
184,0 days 00:01:47
185,0 days 00:04:04
186,0 days 00:02:46
187,0 days 00:03:13
188,0 days 00:03:41
189,0 days 00:02:06
190,0 days 00:03:34
191,0 days 00:03:03
192,0 days 00:02:20
193,0 days 00:00:02
194,0 days 00:01:05
195,0 days 00:01:16
196,0 days 00:01:18
197,0 days 00:00:10
198,0 days 00:02:11
199,0 days 00:03:32
200,0 days 00:02:03
201,0 days 00:03:14
202,0 days 00:03:06
203,0 days 00:00:20
204,0 days 00:00:50
205,0 days 00:01:02
206,-1 days +23:59:29
207,0 days 00:00:41
208,0 days 00:01:56
209,0 days 00:00:24
210,0 days 00:01:34
211,0 days 00:02:14
212,0 days 00:01:41
213,0 days 00:00:09
214,0 days 00:00:45
215,0 days 00:00:29
216,0 days 00:02:38
217,0 days 00:01:23
218,0 days 00:02:45
219,0 days 00:03:26
220,0 days 00:01:25
221,0 days 00:02:05
222,0 days 00:01:57
223,0 days 00:02:28
224,0 days 00:01:06
225,0 days 00:00:53
226,0 days 00:01:25
227,0 days 00:00:06
228,0 days 00:03:10
229,0 days 00:04:17
230,0 days 00:02:02
231,0 days 00:03:12
232,0 days 00:03:54
233,0 days 00:03:38
234,0 days 00:00:19
235,0 days 00:01:38
236,0 days 00:01:38
237,0 days 00:00:22
238,-1 days +23:59:55
239,0 days 00:00:52
240,0 days 00:02:01
241,-1 days +23:59:23
242,0 days 00:01:12
243,0 days 00:00:01
244,-1 days +23:59:33
245,0 days 00:00:08
246,0 days 00:00:26
247,0 days 00:00:45
248,0 days 00:02:30
249,0 days 00:01:34
250,0 days 00:03:15
251,0 days 00:03:54
252,0 days 00:01:30
253,0 days 00:02:59
254,0 days 00:04:28
255,0 days 00:03:57
256,0 days 00:00:02
257,0 days 00:00:03
258,0 days 00:00:08
259,0 days 00:00:34
260,0 days 00:00:03
261,0 days 00:01:29
262,0 days 00:02:27
263,0 days 00:00:13
264,0 days 00:01:05
265,0 days 00:00:37
266,0 days 00:00:04
267,0 days 00:00:31
268,0 days 00:00:47
269,0 days 00:00:29
270,0 days 00:00:00
271,0 days 00:01:03
272,0 days 00:02:05
273,-1 days +23:59:20
274,0 days 00:00:33
275,-1 days +23:59:49
276,-1 days +23:59:27
277,0 days 00:00:56
278,0 days 00:01:00
279,0 days 00:01:20
280,0 days 00:00:01
281,0 days 00:02:07
282,0 days 00:02:57
283,0 days 00:00:01
284,0 days 00:01:31
285,0 days 00:01:08
286,0 days 00:00:40
287,0 days 00:00:03
288,0 days 00:01:19
289,0 days 00:01:31
290,0 days 00:01:49
291,0 days 00:01:40
292,0 days 00:03:07
293,0 days 00:04:03
294,0 days 00:01:15
295,0 days 00:02:22
296,0 days 00:03:29
297,0 days 00:03:31
298,0 days 00:00:06
299,0 days 00:00:57
300,0 days 00:01:20
301,0 days 00:03:45
302,0 days 00:02:37
303,0 days 00:05:48
304,0 days 00:06:58
305,0 days 00:04:42
306,0 days 00:05:59
307,0 days 00:04:58
308,0 days 00:04:43
309,0 days 00:00:00
310,0 days 00:00:32
311,0 days 00:00:22
312,0 days 00:00:29
313,0 days 00:00:01
314,0 days 00:01:41
315,0 days 00:02:49
316,0 days 00:00:25
317,0 days 00:01:06
318,0 days 00:02:04
319,0 days 00:01:41
320,0 days 00:01:19
321,0 days 00:01:28
322,0 days 00:01:26
323,0 days 00:00:19
324,0 days 00:01:13
325,0 days 00:02:05
326,0 days 00:00:12
327,0 days 00:01:21
328,0 days 00:00:45
329,0 days 00:00:15
330,0 days 00:01:47
331,0 days 00:02:34
332,0 days 00:03:03
333,0 days 00:02:30
334,0 days 00:03:10
335,0 days 00:02:55
336,0 days 00:02:52
337,0 days 00:03:43
338,0 days 00:03:57
339,0 days 00:04:08
340,0 days 00:00:03
341,0 days 00:00:53
342,0 days 00:01:28
343,0 days 00:01:13
344,0 days 00:00:37
345,0 days 00:01:37
346,0 days 00:01:29
347,0 days 00:01:29
348,0 days 00:02:12
349,0 days 00:04:46
350,0 days 00:05:08
351,0 days 00:01:12
352,0 days 00:02:14
353,0 days 00:02:51
354,0 days 00:03:31
355,0 days 00:02:20
356,0 days 00:03:26
357,0 days 00:03:31
358,0 days 00:03:23
359,0 days 00:04:14
360,0 days 00:06:30
361,0 days 00:06:16
362,0 days 00:00:04
363,0 days 00:01:36
364,0 days 00:03:15
365,0 days 00:03:49
366,0 days 00:03:18
367,0 days 00:04:32
368,0 days 00:04:46
369,0 days 00:05:32
370,0 days 00:06:32
371,0 days 00:11:00
372,0 days 00:10:55
373,0 days 00:01:14
374,0 days 00:03:00
375,0 days 00:04:04
376,0 days 00:04:09
377,0 days 00:03:22
378,0 days 00:04:27
379,0 days 00:04:49
380,0 days 00:03:45
381,0 days 00:05:24
382,0 days 00:04:16
383,0 days 00:04:22
384,0 days 00:00:35
385,0 days 00:01:49
386,0 days 00:02:16
387,0 days 00:02:22
388,0 days 00:01:21
389,0 days 00:02:06
390,0 days 00:02:40
391,0 days 00:01:06
392,0 days 00:01:33
393,0 days 00:04:11
394,0 days 00:03:48
395,0 days 00:00:06
396,0 days 00:02:04
397,0 days 00:03:03
398,0 days 00:03:17
399,0 days 00:02:35
400,0 days 00:04:20
401,0 days 00:05:15
402,0 days 00:05:56
403,0 days 00:06:45
404,0 days 00:09:31
405,0 days 00:08:55
406,0 days 00:00:02
407,0 days 00:00:52
408,0 days 00:01:41
409,0 days 00:01:35
410,0 days 00:00:59
411,0 days 00:01:47
412,0 days 00:00:53
413,-1 days +23:59:47
414,0 days 00:00:31
415,0 days 00:03:03
416,0 days 00:01:48
417,0 days 00:00:15
418,0 days 00:01:14
419,0 days 00:02:51
420,0 days 00:02:33
421,0 days 00:02:09
422,0 days 00:03:27
423,0 days 00:03:23
424,0 days 00:03:58
425,0 days 00:04:43
426,0 days 00:05:58
427,0 days 00:06:04
428,0 days 00:00:03
429,0 days 00:01:36
430,0 days 00:02:10
431,0 days 00:02:18
432,0 days 00:01:27
433,0 days 00:02:34
434,0 days 00:02:14
435,0 days 00:01:11
436,0 days 00:02:41
437,0 days 00:05:59
438,0 days 00:04:42
439,0 days 00:00:05
440,0 days 00:01:43
441,0 days 00:02:27
442,0 days 00:03:22
443,0 days 00:02:36
444,0 days 00:00:17
445,0 days 00:00:33
446,0 days 00:01:01
447,0 days 00:01:15
448,0 days 00:00:39
449,0 days 00:01:38
450,0 days 00:01:15
451,0 days 00:01:32
452,0 days 00:03:03
453,0 days 00:04:58
454,0 days 00:04:49
455,0 days 00:00:23
456,0 days 00:00:56
457,0 days 00:01:21
458,0 days 00:02:13
459,0 days 00:01:21
460,0 days 00:02:20
461,0 days 00:01:59
462,0 days 00:02:11
463,0 days 00:02:52
464,0 days 00:02:21
465,0 days 00:03:16
466,0 days 00:00:19
467,0 days 00:01:32
468,0 days 00:02:04
469,0 days 00:03:52
470,0 days 00:02:49
471,0 days 00:03:36
472,0 days 00:03:58
473,0 days 00:02:34
474,0 days 00:03:03
475,0 days 00:05:47
476,0 days 00:05:24
477,0 days 00:00:31
478,0 days 00:01:55
479,0 days 00:02:42
480,0 days 00:03:11
481,0 days 00:02:19
482,0 days 00:03:28
483,0 days 00:03:27
484,0 days 00:03:55
485,0 days 00:04:45
486,0 days 00:04:44
487,0 days 00:04:42
488,0 days 00:00:16
489,0 days 00:02:19
490,0 days 00:02:58
491,0 days 00:02:58
492,0 days 00:01:46
493,0 days 00:03:10
494,0 days 00:03:18
495,0 days 00:02:35
496,0 days 00:05:26
497,0 days 00:04:13
498,0 days 00:00:05
499,0 days 00:01:57
500,0 days 00:02:24
501,0 days 00:02:24
502,0 days 00:01:39
503,0 days 00:02:43
504,0 days 00:02:56
505,0 days 00:03:40
506,0 days 00:04:30
507,0 days 00:06:00
508,0 days 00:04:43
509,0 days 00:00:04
510,0 days 00:01:06
511,0 days 00:01:46
512,0 days 00:01:19
513,0 days 00:00:21
514,0 days 00:01:21
515,0 days 00:01:12
516,0 days 00:01:48
517,0 days 00:03:01
518,0 days 00:03:46
519,0 days 00:04:06
520,0 days 00:00:14
521,0 days 00:01:45
522,0 days 00:03:21
523,0 days 00:01:50
524,0 days 00:00:53
525,0 days 00:01:59
526,0 days 00:02:24
527,0 days 00:03:11
528,0 days 00:03:52
529,0 days 00:05:26
530,0 days 00:05:34
531,0 days 00:00:07
532,0 days 00:01:49
533,0 days 00:02:12
534,0 days 00:01:38
535,0 days 00:00:42
536,0 days 00:02:20
537,0 days 00:01:13
538,0 days 00:01:39
539,0 days 00:03:00
540,0 days 00:04:52
541,0 days 00:05:08
542,0 days 00:00:11
543,0 days 00:01:04
544,0 days 00:02:18
545,0 days 00:02:59
546,0 days 00:01:50
547,0 days 00:02:43
548,0 days 00:01:23
549,0 days 00:00:35
550,0 days 00:02:16
551,0 days 00:04:11
552,0 days 00:04:40
553,0 days 00:00:15
554,0 days 00:02:01
555,0 days 00:02:40
556,0 days 00:01:16
557,0 days 00:00:49
558,0 days 00:02:16
559,0 days 00:01:06
560,0 days 00:01:21
561,0 days 00:02:06
562,0 days 00:01:57
563,0 days 00:02:12
564,0 days 00:00:06
565,0 days 00:01:49
566,0 days 00:02:25
567,0 days 00:02:21
568,0 days 00:01:58
569,0 days 00:03:41
570,0 days 00:02:56
571,0 days 00:03:51
572,0 days 00:05:10
573,0 days 00:06:52
574,0 days 00:05:34
575,0 days 00:00:05
576,0 days 00:02:08
577,0 days 00:02:46
578,0 days 00:01:54
579,0 days 00:01:23
580,0 days 00:02:28
581,0 days 00:02:14
582,0 days 00:01:35
583,0 days 00:02:26
584,0 days 00:02:44
585,0 days 00:03:12
586,0 days 00:00:14
587,0 days 00:01:12
588,0 days 00:01:58
589,0 days 00:00:57
590,-1 days +23:59:58
591,0 days 00:01:10
592,0 days 00:00:08
593,0 days 00:00:16
594,0 days 00:00:00
595,0 days 00:01:15
596,0 days 00:00:51
597,0 days 00:00:05
598,0 days 00:03:06
599,0 days 00:03:33
600,0 days 00:03:47
601,0 days 00:03:25
602,0 days 00:05:13
603,0 days 00:04:11
604,0 days 00:04:11
605,0 days 00:04:41
606,0 days 00:06:00
607,0 days 00:05:45
608,0 days 00:00:03
609,0 days 00:01:52
610,0 days 00:02:27
611,0 days 00:00:42
612,0 days 00:00:07
613,0 days 00:01:10
614,0 days 00:00:06
615,-1 days +23:59:40
616,-1 days +23:59:18
617,0 days 00:00:19
618,0 days 00:00:13
619,0 days 00:00:08
620,0 days 00:02:05
621,0 days 00:04:05
622,0 days 00:03:27
623,0 days 00:02:20
624,0 days 00:03:16
625,0 days 00:02:43
626,0 days 00:03:31
627,0 days 00:03:34
628,0 days 00:04:50
629,0 days 00:03:54
630,-1 days +23:59:59
631,0 days 00:01:04
632,0 days 00:01:40
633,0 days 00:00:49
634,0 days 00:00:13
635,0 days 00:01:35
636,0 days 00:00:51
637,0 days 00:00:00
638,-1 days +23:59:38
639,0 days 00:00:26
640,0 days 00:00:38
641,0 days 00:00:10
642,0 days 00:01:04
643,0 days 00:02:00
644,0 days 00:01:53
645,0 days 00:01:30
646,0 days 00:02:21
647,0 days 00:01:13
648,0 days 00:01:40
649,0 days 00:01:19
650,0 days 00:01:52
651,0 days 00:01:42
652,0 days 00:00:17
653,0 days 00:01:26
654,0 days 00:01:57
655,0 days 00:00:58
656,0 days 00:00:12
657,0 days 00:01:17
658,0 days 00:00:14
659,0 days 00:00:20
660,-1 days +23:58:35
661,-1 days +23:58:52
662,0 days 00:02:26
663,0 days 00:02:38
664,0 days 00:00:02
665,0 days 00:00:53
666,0 days 00:01:24
667,0 days 00:01:31
668,0 days 00:01:32
669,0 days 00:01:22
670,0 days 00:03:50
671,0 days 00:04:08
672,0 days 00:00:15
673,0 days 00:00:31
674,0 days 00:01:15
675,0 days 00:02:35
676,0 days 00:00:21
677,-1 days +23:59:50
678,0 days 00:00:00
679,0 days 00:00:22
680,0 days 00:00:11
681,0 days 00:00:27
682,0 days 00:00:17
683,0 days 00:00:58
684,0 days 00:00:09
685,0 days 00:00:18
686,0 days 00:00:01
687,0 days 00:00:27
688,0 days 00:00:11
689,0 days 00:00:35
690,0 days 00:00:05
691,0 days 00:00:33
692,0 days 00:00:09
693,0 days 00:00:22
694,0 days 00:00:04
695,0 days 00:00:11
696,0 days 00:00:06
697,-1 days +23:59:57
698,0 days 00:00:15
699,0 days 00:00:10
700,0 days 00:00:03
701,0 days 00:00:02
702,0 days 00:01:08
703,0 days 00:01:40
704,0 days 00:00:08
705,0 days 00:00:04
706,0 days 00:01:15
707,0 days 00:01:27
708,0 days 00:00:06
709,-1 days +23:59:49
710,0 days 00:00:11
711,0 days 00:01:23
712,0 days 00:01:16
713,0 days 00:00:13
714,0 days 00:00:02
715,0 days 00:01:34
716,0 days 00:01:24
717,0 days 00:00:00
718,0 days 00:00:17
719,0 days 00:01:46
720,0 days 00:01:52
721,0 days 00:00:23
722,0 days 00:00:36
723,0 days 00:01:37
724,0 days 00:01:27
725,0 days 00:00:03
726,0 days 00:00:14
727,0 days 00:01:14
728,0 days 00:01:11
729,0 days 00:00:06
730,0 days 00:00:16
731,0 days 00:01:51
732,0 days 00:01:53
733,0 days 00:00:41
734,0 days 00:02:01
735,0 days 00:01:49
736,0 days 00:01:36
737,0 days 00:00:11
738,0 days 00:00:08
739,0 days 00:01:41
740,0 days 00:01:35
741,0 days 00:00:17
742,-1 days +23:59:59
743,-1 days +23:58:20
744,0 days 00:02:00
745,0 days 00:01:51
746,0 days 00:00:11
747,0 days 00:00:30
748,0 days 00:02:05
749,0 days 00:02:00
750,0 days 00:00:19
751,0 days 00:00:22
752,0 days 00:02:02
753,0 days 00:03:03
754,0 days 00:00:14
755,0 days 00:00:27
756,0 days 00:01:53
757,0 days 00:00:57
758,0 days 00:00:18
759,0 days 00:00:04
760,0 days 00:00:04
761,-1 days +23:58:56
762,0 days 00:00:05
763,0 days 00:00:04
764,0 days 00:00:02
765,0 days 00:01:05
766,0 days 00:01:40
767,0 days 00:00:09
768,0 days 00:00:45
769,0 days 00:00:58
770,0 days 00:01:18
771,0 days 00:00:34
772,0 days 00:00:03
773,0 days 00:00:03
774,0 days 00:01:14
775,0 days 00:01:08
776,0 days 00:00:03
777,-1 days +23:59:35
778,0 days 00:00:03
779,-1 days +23:59:34
780,0 days 00:00:03
781,0 days 00:00:02
782,0 days 00:01:09
783,0 days 00:00:29
784,0 days 00:01:15
785,0 days 00:00:04
786,0 days 00:00:04
787,0 days 00:00:10
788,0 days 00:00:03
789,0 days 00:00:03
790,0 days 00:00:16
791,0 days 00:00:06
792,0 days 00:00:07
793,0 days 00:00:04
794,0 days 00:00:05
795,0 days 00:00:08
796,0 days 00:00:04
797,-1 days +23:59:59
798,0 days 00:00:07
799,0 days 00:00:06
800,0 days 00:00:30
801,0 days 00:00:09
802,0 days 00:00:15
803,0 days 00:00:10
804,0 days 00:00:29
805,0 days 00:00:08
806,-1 days +23:59:59
807,0 days 00:00:03
808,0 days 00:00:46
809,0 days 00:00:07
810,0 days 00:00:00
811,0 days 00:00:08
812,0 days 00:00:56
813,0 days 00:00:06
814,0 days 00:00:00
815,0 days 00:00:14
816,0 days 00:01:15
817,0 days 00:00:10
818,0 days 00:00:24
819,0 days 00:00:23
820,0 days 00:01:05
821,0 days 00:00:03
822,-1 days +23:59:58
823,0 days 00:00:09
824,0 days 00:02:57
825,0 days 00:03:24
826,0 days 00:02:56
827,0 days 00:00:00
828,0 days 00:00:04
829,0 days 00:00:38
830,0 days 00:00:11
831,0 days 00:01:35
832,0 days 00:03:52
833,0 days 00:05:32
834,0 days 00:05:27
835,0 days 00:05:23
836,0 days 00:05:44
837,0 days 00:06:51
838,0 days 00:07:02
839,0 days 00:08:37
840,0 days 00:08:12
841,0 days 00:09:03
842,0 days 00:08:46
843,0 days 00:01:43
844,0 days 00:02:14
845,0 days 00:03:37
846,0 days 00:05:03
847,0 days 00:05:17
848,0 days 00:06:19
849,0 days 00:05:32
850,0 days 00:06:45
851,0 days 00:07:39
852,0 days 00:06:10
853,0 days 00:07:30
854,0 days 00:07:29
855,0 days 00:07:00
856,0 days 00:06:30
857,0 days 00:06:19
858,0 days 00:05:35
859,0 days 00:06:07
860,0 days 00:06:55
861,0 days 00:07:59
862,0 days 00:09:05
863,0 days 00:00:13
864,0 days 00:01:48
865,0 days 00:03:06
866,0 days 00:06:18
867,0 days 00:06:24
868,0 days 00:07:05
869,0 days 00:06:02
870,0 days 00:06:29
871,0 days 00:06:03
872,0 days 00:05:40
873,0 days 00:06:55
874,0 days 00:06:47
875,0 days 00:06:26
876,0 days 00:05:56
877,0 days 00:05:35
878,0 days 00:04:49
879,0 days 00:05:30
880,0 days 00:05:48
881,0 days 00:05:13
882,0 days 00:05:54
883,0 days 00:00:06
884,0 days 00:01:06
885,0 days 00:02:12
886,0 days 00:03:25
887,0 days 00:04:25
888,0 days 00:05:09
889,0 days 00:05:06
890,0 days 00:05:06
891,0 days 00:05:18
892,0 days 00:03:18
893,0 days 00:03:49
894,0 days 00:05:23
895,0 days 00:05:08
896,0 days 00:06:21
897,0 days 00:06:25
898,0 days 00:03:58
899,0 days 00:04:52
900,0 days 00:05:41
901,0 days 00:06:46
902,0 days 00:07:55
903,0 days 00:00:35
904,0 days 00:00:04
905,0 days 00:01:15
906,0 days 00:02:54
907,0 days 00:03:17
908,0 days 00:03:56
909,0 days 00:02:18
910,0 days 00:01:54
911,0 days 00:02:16
912,0 days 00:00:48
913,0 days 00:01:09
914,0 days 00:00:49
915,0 days 00:00:40
916,0 days 00:01:08
917,0 days 00:00:58
918,0 days 00:00:02
919,0 days 00:00:58
920,0 days 00:01:23
921,0 days 00:01:15
922,0 days 00:01:41
923,0 days 00:00:08
924,0 days 00:00:02
925,0 days 00:00:13
926,0 days 00:01:35
927,0 days 00:00:52
928,0 days 00:01:25
929,-1 days +23:59:22
930,0 days 00:00:30
931,0 days 00:00:47
932,0 days 00:01:25
933,-1 days +23:59:51
934,0 days 00:00:15
935,0 days 00:00:02
936,0 days 00:00:08
937,0 days 00:02:08
938,0 days 00:03:38
939,-1 days +23:59:59
940,0 days 00:00:39
941,0 days 00:00:19
942,0 days 00:00:57
943,0 days 00:02:11
944,0 days 00:01:54
945,0 days 00:02:01
946,0 days 00:03:18
947,0 days 00:02:54
948,0 days 00:03:36
949,0 days 00:01:36
950,0 days 00:02:31
951,0 days 00:02:17
952,0 days 00:01:18
953,0 days 00:00:48
954,0 days 00:00:46
955,0 days 00:00:40
956,0 days 00:01:14
957,0 days 00:00:13
958,0 days 00:00:06
959,0 days 00:00:55
960,0 days 00:00:43
961,0 days 00:00:36
962,0 days 00:00:24
963,0 days 00:00:09
964,0 days 00:06:52
965,0 days 00:08:06
966,0 days 00:07:30
967,0 days 00:07:03
968,0 days 00:08:12
969,0 days 00:07:40
970,0 days 00:07:26
971,0 days 00:07:06
972,0 days 00:07:52
973,0 days 00:07:44
974,0 days 00:06:46
975,0 days 00:04:20
976,0 days 00:08:19
977,0 days 00:09:11
978,0 days 00:08:26
979,0 days 00:10:39
980,0 days 00:09:22
981,0 days 00:10:20
982,0 days 00:14:21
983,0 days 00:12:55
984,0 days 00:04:45
985,0 days 00:05:32
986,0 days 00:05:33
987,0 days 00:06:31
988,0 days 00:05:54
989,0 days 00:05:54
990,0 days 00:05:51
991,0 days 00:07:11
992,0 days 00:06:57
993,0 days 00:06:22
994,0 days 00:04:18
995,0 days 00:04:58
996,0 days 00:05:43
997,0 days 00:05:26
998,0 days 00:06:34
999,0 days 00:05:45
1000,0 days 00:06:17
1001,0 days 00:06:26
1002,0 days 00:06:42
1003,0 days 00:00:54
1004,0 days 00:01:41
1005,0 days 00:02:05
1006,0 days 00:01:28
1007,0 days 00:02:52
1008,0 days 00:01:31
1009,0 days 00:02:00
1010,0 days 00:01:41
1011,0 days 00:02:36
1012,0 days 00:03:22
1013,0 days 00:02:34
1014,0 days 00:03:10
1015,0 days 00:02:34
1016,0 days 00:03:42
1017,0 days 00:04:19
1018,0 days 00:03:13
1019,0 days 00:04:15
1020,0 days 00:03:46
1021,0 days 00:04:30
1022,0 days 00:07:41
1023,0 days 00:07:32
1024,0 days 00:03:07
1025,0 days 00:02:54
1026,0 days 00:02:59
1027,0 days 00:02:29
1028,0 days 00:03:24
1029,0 days 00:01:33
1030,0 days 00:01:19
1031,0 days 00:02:08
1032,0 days 00:04:18
1033,0 days 00:03:50
1034,0 days 00:02:04
1035,0 days 00:01:50
1036,0 days 00:03:15
1037,0 days 00:03:53
1038,0 days 00:03:22
1039,0 days 00:05:10
1040,0 days 00:04:15
1041,0 days 00:05:02
1042,0 days 00:04:43
1043,0 days 00:04:58
1044,0 days 00:00:17
1045,0 days 00:00:17
1046,0 days 00:00:55
1047,0 days 00:00:40
1048,0 days 00:01:49
1049,0 days 00:00:14
1050,0 days 00:00:46
1051,0 days 00:00:38
1052,0 days 00:00:23
1053,0 days 00:01:51
1054,0 days 00:01:46
1055,0 days 00:00:48
1056,0 days 00:00:11
1057,0 days 00:01:36
1058,0 days 00:02:35
1059,0 days 00:01:47
1060,0 days 00:01:52
1061,0 days 00:02:45
1062,0 days 00:03:35
1063,0 days 00:04:26
1064,0 days 00:04:29
1065,0 days 00:00:08
1066,0 days 00:00:53
1067,0 days 00:01:47
1068,0 days 00:01:48
1069,0 days 00:02:01
1070,0 days 00:00:00
1071,0 days 00:00:43
1072,0 days 00:00:26
1073,0 days 00:02:14
1074,0 days 00:01:27
1075,0 days 00:02:07
1076,0 days 00:00:02
1077,0 days 00:03:03
1078,0 days 00:03:43
1079,0 days 00:04:29
1080,0 days 00:04:52
1081,0 days 00:04:33
1082,0 days 00:06:14
1083,0 days 00:06:12
1084,0 days 00:05:24
1085,0 days 00:00:06
1086,0 days 00:00:10
1087,0 days 00:00:14
1088,0 days 00:00:09
1089,0 days 00:01:14
1090,0 days 00:00:14
1091,0 days 00:00:39
1092,0 days 00:00:33
1093,0 days 00:02:09
1094,0 days 00:03:03
1095,0 days 00:01:35
1096,0 days 00:00:20
1097,0 days 00:01:32
1098,0 days 00:02:05
1099,0 days 00:01:24
1100,0 days 00:03:26
1101,0 days 00:03:19
1102,0 days 00:03:56
1103,0 days 00:05:01
1104,0 days 00:05:30
1105,0 days 00:00:07
1106,0 days 00:01:04
1107,0 days 00:01:17
1108,0 days 00:02:35
1109,0 days 00:02:19
1110,0 days 00:02:46
1111,0 days 00:01:49
1112,0 days 00:01:30
1113,0 days 00:01:10
1114,0 days 00:00:03
1115,0 days 00:02:36
1116,0 days 00:02:41
1117,0 days 00:02:50
1118,0 days 00:03:41
1119,0 days 00:04:53
1120,0 days 00:05:25
1121,0 days 00:03:42
1122,0 days 00:04:23
1123,0 days 00:04:05
1124,0 days 00:03:50
1125,0 days 00:02:13
1126,0 days 00:02:21
1127,0 days 00:05:37
1128,0 days 00:05:35
1129,0 days 00:06:03
1130,0 days 00:04:13
1131,0 days 00:03:53
1132,0 days 00:04:19
1133,0 days 00:08:14
1134,0 days 00:10:15
1135,0 days 00:10:49
1136,0 days 00:13:36
1137,0 days 00:13:39
1138,0 days 00:14:19
1139,0 days 00:12:14
1140,0 days 00:12:57
1141,0 days 00:12:25
1142,0 days 00:00:02
1143,-1 days +23:59:59
1144,0 days 00:00:01
1145,0 days 00:00:51
1146,0 days 00:00:35
1147,0 days 00:00:52
1148,0 days 00:00:03
1149,0 days 00:00:12
