,Route ID,Difference
332,135,0 days 00:00:51
333,135,0 days 00:01:11
334,135,0 days 00:00:01
335,135,0 days 00:02:30
336,135,0 days 00:03:34
337,135,0 days 00:00:36
338,135,0 days 00:01:59
339,135,0 days 00:01:22
340,135,0 days 00:01:02
341,135,0 days 00:00:05
342,135,0 days 00:01:50
343,135,0 days 00:01:54
344,135,0 days 00:02:04
345,135,0 days 00:01:11
346,135,0 days 00:03:48
347,135,0 days 00:04:36
348,135,0 days 00:01:55
349,135,0 days 00:02:57
350,135,0 days 00:03:08
351,135,0 days 00:00:06
352,135,0 days 00:00:32
353,135,0 days 00:00:49
354,135,0 days 00:03:03
355,135,0 days 00:02:29
356,135,0 days 00:03:31
357,135,0 days 00:04:20
358,135,0 days 00:01:26
359,135,0 days 00:02:41
360,135,0 days 00:02:28
361,135,0 days 00:02:02
362,135,0 days 00:00:06
363,135,0 days 00:01:07
364,135,0 days 00:01:33
365,135,0 days 00:02:34
366,135,0 days 00:02:24
367,135,0 days 00:09:20
368,135,0 days 00:10:13
369,135,0 days 00:07:17
370,135,0 days 00:08:18
371,135,0 days 00:08:46
372,135,0 days 00:08:32
373,135,0 days 00:00:06
374,135,0 days 00:00:21
375,135,0 days 00:00:18
376,135,-1 days +23:59:26
377,135,0 days 00:00:13
378,135,0 days 00:01:30
379,135,0 days 00:00:01
380,135,0 days 00:01:15
381,135,0 days 00:00:23
382,135,0 days 00:00:02
383,135,0 days 00:00:46
384,135,0 days 00:00:55
385,135,0 days 00:01:10
386,135,0 days 00:03:25
387,135,0 days 00:02:32
388,135,0 days 00:03:55
389,135,0 days 00:04:52
390,135,0 days 00:02:07
391,135,0 days 00:02:59
392,135,0 days 00:03:08
393,135,0 days 00:02:49
394,135,0 days 00:00:01
395,135,0 days 00:01:48
396,135,0 days 00:02:04
397,135,0 days 00:02:06
398,135,0 days 00:00:40
399,135,0 days 00:01:29
400,135,0 days 00:02:30
401,135,0 days 00:00:01
402,135,0 days 00:01:14
403,135,0 days 00:01:30
404,135,0 days 00:01:03
405,135,0 days 00:00:00
