,Vehicle ID,Trip ID,Route ID,Direction,Schedule Relationship,Current Stop Sequence,Current Stop ID,Timestamp,Location
3898,C245,44201-2-37-170-1148,122,0.0,0.0,28.0,1486-01,2025-04-09 23:34:40,35.722782135009766 139.68887329101562
3899,C221,44201-2-37-170-1130,122,0.0,0.0,34.0,0162-01,2025-04-09 23:35:02,35.736263275146484 139.6721954345703
3900,G744,44201-2-37-170-1139,122,0.0,0.0,34.0,0162-01,2025-04-09 23:35:56,35.736263275146484 139.6721954345703
3901,F578,44210-1-37-170-1218,122,1.0,0.0,9.0,1487-01,2025-04-09 23:34:25,35.724857330322266 139.68617248535156
3902,E397,20201-1-33-170-1232,147,1.0,0.0,2.0,2482-14,2025-04-09 23:34:09,35.71173858642578 139.7172393798828
3903,D361,20201-1-33-170-1211,147,1.0,0.0,11.0,0715-02,2025-04-09 23:34:31,35.69274139404297 139.70416259765625
3904,E518,20201-2-33-170-1220,147,0.0,0.0,5.0,0227-01,2025-04-09 23:34:41,35.69718933105469 139.7071990966797
3905,L309,12001-1-13-170-1220,135,1.0,0.0,8.0,1019-01,2025-04-09 23:35:22,35.701255798339844 139.7157745361328
3906,G815,12001-2-13-170-1233,135,0.0,0.0,1.0,0971-01,2025-04-09 23:33:02,35.69751739501953 139.71974182128906
3907,G817,12001-2-13-170-1213,135,0.0,0.0,10.0,0715-02,2025-04-09 23:34:25,35.69274139404297 139.70416259765625
3908,X296,12301-2-13-170-1203,138,0.0,0.0,18.0,0722-02,2025-04-09 23:34:12,35.695465087890625 139.70713806152344
3909,Z546,12302-1-13-170-1224,138,1.0,0.0,6.0,0456-02,2025-04-09 23:35:30,35.697784423828125 139.7098846435547
3910,F567,24101-1-21-170-1223,148,1.0,0.0,6.0,1092-02,2025-04-09 23:35:16,35.69756317138672 139.6750030517578
3911,K232,24101-1-21-170-1156,148,1.0,0.0,25.0,0524-01,2025-04-09 23:36:04,35.744178771972656 139.67279052734375
3912,C215,24101-1-21-170-1128,148,1.0,0.0,42.0,0403-01,2025-04-09 23:35:47,35.76858901977539 139.73475646972656
3913,L317,24101-2-21-170-1234,148,0.0,0.0,1.0,0196-03,2025-04-09 23:34:05,35.75390625 139.7373504638672
3914,C216,24101-2-21-170-1206,148,0.0,0.0,21.0,0555-01,2025-04-09 23:34:31,35.74811553955078 139.67855834960938
3915,A599,24101-2-21-170-1138,148,0.0,0.0,36.0,1277-01,2025-04-09 23:35:43,35.69808578491211 139.65753173828125
3916,F566,24006-1-21-170-1221,158,1.0,0.0,11.0,1122-01,2025-04-09 23:34:12,35.69566345214844 139.68922424316406
3917,E400,24006-2-21-170-1226,158,0.0,0.0,5.0,1388-02,2025-04-09 23:35:13,35.69727325439453 139.67950439453125
3918,T262,24302-1-21-170-1223,158,1.0,0.0,9.0,1399-01,2025-04-09 23:35:41,35.68887710571289 139.6549835205078
3919,B725,24302-2-21-170-1215,158,0.0,0.0,14.0,0781-02,2025-04-09 23:35:45,35.69546890258789 139.65447998046875
3920,B715,24001-1-06-170-1234,169,1.0,0.0,2.0,0863-01,2025-04-09 23:36:06,35.63444900512695 139.73806762695312
3921,L308,24001-1-06-170-1213,169,1.0,0.0,10.0,1357-02,2025-04-09 23:34:39,35.649986267089844 139.72235107421875
3922,H859,24001-1-06-170-1152,169,1.0,0.0,21.0,0574-02,2025-04-09 23:33:58,35.68355941772461 139.71974182128906
3923,T245,24001-2-21-170-1229,169,0.0,0.0,3.0,2001-01,2025-04-09 23:35:41,35.69123840332031 139.70416259765625
3924,F568,24001-2-21-170-1207,169,0.0,0.0,15.0,0014-01,2025-04-09 23:35:01,35.67133712768555 139.7246551513672
3925,H177,24001-2-06-170-1145,169,0.0,0.0,27.0,0867-02,2025-04-09 23:36:06,35.63878631591797 139.73487854003906
3926,F584,44201-1-37-170-1214,122,1.0,0.0,13.0,1529-05,2025-04-09 23:35:57,35.7219352722168 139.70632934570312
3927,G745,44201-1-37-170-1204,122,1.0,0.0,20.0,0799-02,2025-04-09 23:35:23,35.7138557434082 139.72604370117188
3928,F577,44201-1-37-170-1154,122,1.0,0.0,24.0,2549-01,2025-04-09 23:35:25,35.70572280883789 139.72720336914062
3929,F576,44201-1-37-170-1144,122,1.0,0.0,29.0,0102-02,2025-04-09 23:33:30,35.69490432739258 139.7248992919922
3930,F583,44201-1-37-170-1133,122,1.0,0.0,35.0,0334-03,2025-04-09 23:35:12,35.693267822265625 139.70191955566406
3931,F582,44201-2-37-170-1226,122,0.0,0.0,5.0,1235-02,2025-04-09 23:35:27,35.69133377075195 139.7129364013672
3932,L330,44201-2-37-170-1216,122,0.0,0.0,10.0,0141-02,2025-04-09 23:35:59,35.6984977722168 139.72579956054688
3933,E512,44201-2-37-170-1206,122,0.0,0.0,18.0,1531-01,2025-04-09 23:36:04,35.71505355834961 139.72450256347656
3934,K254,44201-2-37-170-1157,122,0.0,0.0,22.0,1530-01,2025-04-09 23:34:15,35.71987533569336 139.71099853515625
3935,C245,44201-2-37-170-1148,122,0.0,0.0,28.0,1486-01,2025-04-09 23:34:40,35.722782135009766 139.68887329101562
3936,C221,44201-2-37-170-1130,122,0.0,0.0,34.0,0162-01,2025-04-09 23:35:02,35.736263275146484 139.6721954345703
3937,G744,44201-2-37-170-1139,122,0.0,0.0,34.0,0162-01,2025-04-09 23:35:56,35.736263275146484 139.6721954345703
3938,F578,44210-1-37-170-1218,122,1.0,0.0,9.0,1487-01,2025-04-09 23:34:25,35.724857330322266 139.68617248535156
3939,E397,20201-1-33-170-1232,147,1.0,0.0,2.0,2482-14,2025-04-09 23:34:09,35.71173858642578 139.7172393798828
3940,D361,20201-1-33-170-1211,147,1.0,0.0,11.0,0715-02,2025-04-09 23:34:31,35.69274139404297 139.70416259765625
3941,E518,20201-2-33-170-1220,147,0.0,0.0,5.0,0227-01,2025-04-09 23:34:41,35.69718933105469 139.7071990966797
3942,L309,12001-1-13-170-1220,135,1.0,0.0,8.0,1019-01,2025-04-09 23:35:22,35.701255798339844 139.7157745361328
3943,G815,12001-2-13-170-1233,135,0.0,0.0,1.0,0971-01,2025-04-09 23:33:02,35.69751739501953 139.71974182128906
3944,G817,12001-2-13-170-1213,135,0.0,0.0,10.0,0715-02,2025-04-09 23:34:25,35.69274139404297 139.70416259765625
3945,X296,12301-2-13-170-1203,138,0.0,0.0,18.0,0722-02,2025-04-09 23:34:12,35.695465087890625 139.70713806152344
3946,Z546,12302-1-13-170-1224,138,1.0,0.0,6.0,0456-02,2025-04-09 23:35:30,35.697784423828125 139.7098846435547
3947,F567,24101-1-21-170-1223,148,1.0,0.0,6.0,1092-02,2025-04-09 23:35:16,35.69756317138672 139.6750030517578
3948,K232,24101-1-21-170-1156,148,1.0,0.0,25.0,0524-01,2025-04-09 23:36:04,35.744178771972656 139.67279052734375
3949,C215,24101-1-21-170-1128,148,1.0,0.0,42.0,0403-01,2025-04-09 23:35:47,35.76858901977539 139.73475646972656
3950,L317,24101-2-21-170-1234,148,0.0,0.0,1.0,0196-03,2025-04-09 23:34:05,35.75390625 139.7373504638672
3951,C216,24101-2-21-170-1206,148,0.0,0.0,21.0,0555-01,2025-04-09 23:34:31,35.74811553955078 139.67855834960938
